Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
15908,61,2.0,46.51061051291392,29.0603704851716,6.0,9,12.0,1977,0.300322518,B,B,52,10311,6,1117.1425855513307,1,9,B
8604,119,3.0,52.15680548100367,35.33304545857853,6.0,1,9.0,1971,0.033493708,B,B,66,10573,1,1322.0,3,8,B
13462,55,3.0,61.07003979974992,44.83078021432773,6.0,10,9.0,1972,0.012338886,B,B,35,5776,1,2078.0,2,4,B
15937,9,4.0,92.1582517146398,54.1686158873239,12.0,4,14.0,1997,0.161531741,B,B,25,5648,1,30.0,2,4,B
609,9,2.0,43.255853827147455,30.80462712594298,5.0,6,5.0,1972,0.161531741,B,B,25,5648,1,30.0,2,4,B
11792,6,1.0,42.02458754161445,18.006901796270046,13.0,21,25.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
10664,6,2.0,71.27996797259519,38.324806715095406,11.0,4,25.0,2015,0.243204519,B,B,5,1564,0,540.0,0,0,B
12184,1,2.0,66.82814720114739,66.51556795276943,1.0,13,17.0,1977,0.007122317,B,B,1,264,0,1117.1425855513307,0,1,B
5265,49,3.0,56.60793912183414,35.71362801420688,6.0,5,5.0,1963,0.020741326,B,B,24,5613,5,1340.0,2,5,B
15412,23,2.0,52.74380771589729,36.68160287683257,0.0,4,3.0,1977,0.005767451,B,B,1,388,0,1117.1425855513307,0,0,B
3009,9,1.0,44.79205767296403,36.68160287683257,0.0,2,2.0,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B
9991,27,3.0,78.03231040061465,36.68160287683257,1.0,9,12.0,1977,0.072157581,B,B,2,629,1,1117.1425855513307,0,0,A
3396,102,1.0,35.143063507585005,22.96297346854796,5.0,1,5.0,1961,0.23861713,B,B,26,3889,6,705.0,3,6,B
9627,111,3.0,63.79351189149431,47.79237485581532,5.0,5,5.0,1964,0.1363303,B,B,30,6141,10,262.0,3,6,B
6489,48,2.0,62.07199667687857,60.723785302444725,1.0,3,1.0,2016,0.041124634,B,B,46,9515,5,1117.1425855513307,1,10,B
13133,61,3.0,64.6180322495841,47.29265345306051,6.0,7,9.0,1969,0.298204575,B,B,16,4048,3,1117.1425855513307,1,3,B
6449,23,2.0,62.15000161643722,36.68160287683257,1.0,14,24.0,1977,0.034656082,B,B,0,168,0,1117.1425855513307,0,0,B
3513,23,1.0,41.23102569355002,22.72179039300734,7.0,14,17.0,2011,0.075778755,B,B,6,1437,3,1117.1425855513307,0,2,B
15707,73,2.0,48.304146453118754,27.61691588018336,5.0,4,5.0,1965,0.042031587,B,B,37,6856,84,1940.0,2,5,B
7394,148,3.0,79.67085654838417,48.503318502740136,6.0,18,33.0,2015,0.313924552,B,B,22,4625,11,3855.0,2,10,B
13826,45,2.0,64.75230389868925,62.29379267485883,1.0,20,24.0,2015,0.195781053,B,B,23,5212,6,1117.1425855513307,3,2,B
2122,6,1.0,40.88120881819028,36.68160287683257,1.0,15,1.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
11099,1,1.0,36.007752888595746,35.4243199437779,9.0,5,17.0,2010,0.025609157,B,B,33,5261,0,240.0,3,1,B
15733,2,2.0,44.64969522412724,31.33894222692618,5.0,7,9.0,1970,0.130617806,B,B,39,10418,9,900.0,1,9,B
6206,59,2.0,78.53043555955044,36.68160287683257,0.0,7,0.0,1977,0.019508796,B,B,37,7687,11,176.0,5,5,B
10551,6,2.0,54.75786319558336,34.57676409817108,9.0,5,17.0,2010,0.243204519,B,B,5,1564,0,540.0,0,0,B
12617,104,1.0,30.37664411722465,20.208388643042117,5.0,11,9.0,1967,0.327018035,B,B,12,2270,23,2500.0,1,0,B
7017,52,3.0,80.50902249916281,48.64579238900214,10.0,16,17.0,2009,0.371148999,B,B,34,7065,1,750.0,2,5,B
4009,88,2.0,46.07802588907847,28.020709909138727,6.0,13,12.0,1974,0.127375905,B,B,43,8429,3,1117.1425855513307,3,9,B
12187,23,2.0,67.02750998541055,36.68160287683257,1.0,2,17.0,1977,0.075778755,B,B,6,1437,3,1117.1425855513307,0,2,B
5770,140,1.0,31.40718144147225,17.914113959375094,0.0,5,5.0,1962,0.0,B,B,33,7425,1,1117.1425855513307,2,5,B
13273,62,3.0,89.36025260907614,52.702849856215686,11.0,13,0.0,1977,0.072157581,B,B,2,629,1,1117.1425855513307,0,0,A
8107,25,2.0,61.02149865816767,38.23932270416714,10.0,10,14.0,1994,0.069753361,B,B,53,13670,4,1117.1425855513307,1,11,B
